Month,Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total,,,,,,,,,,,
2018-10,FINRA / NYSE TRF (DN),5040551214,2528492035,6669364636,14238407885,1.67E+11,95693825022,2.90E+11,5.53E+11,10951520,5401764,14627737,30981021,,,,,,,,,,,
2018-10,FINRA / Nasdaq TRF Carteret (DQ),25837704444,10653678985,18078581228,54569964657,1.03E+12,6.77E+11,8.90E+11,2.60E+12,94409797,24528498,61111814,180050109,,,,,,,,,,,
2018-10,IEX (V),2877911256,571223924,1531734857,4980870037,1.31E+11,36189501692,95433503668,2.63E+11,19804925,2549089,11129846,33483860,,,,,,,,,,,
2018-10,NASDAQ (Q),11329635994,5946279798,16357688296,33633604088,5.42E+11,4.18E+11,9.90E+11,1.95E+12,100455657,26103359,104215214,230774230,,,,,,,,,,,
2018-10,NASDAQ BX (B),2400260991,902178538,1349590744,4652030273,1.12E+11,51330755792,79888756672,2.43E+11,24236430,4432002,14273925,42942357,,,,,,,,,,,
2018-10,NASDAQ PSX (X),471013896,641704322,440405502,1553123720,19747923179,55865090020,39010339977,1.15E+11,3870554,2873537,3654763,10398854,,,,,,,,,,,
2018-10,NYSE (N),21626554290,922003997,912252019,23460810306,9.15E+11,71037575810,55726802445,1.04E+12,78425779,3459798,6291294,88176871,,,,,,,,,,,
2018-10,NYSE American (A),139739716,390122363,67489662,597351741,6332227248,5035765161,4329722561,15697714971,1351348,1104434,679073,3134855,,,,,,,,,,,
2018-10,NYSE Arca (P),5269189107,8932273767,4896227536,19097690410,2.21E+11,5.37E+11,2.71E+11,1.03E+12,39332261,26630307,35443357,101405925,,,,,,,,,,,
2018-10,NYSE National (C),1136381782,553154979,548928957,2238465718,36910850762,21017540719,25486656460,83415047942,10345237,2634683,5691839,18671759,,,,,,,,,,,
2018-11,BYX Equities (Y),3775400688,1777458184,1623394078,7176252950,1.08E+11,79371092846,65379870777,2.53E+11,31064610,8654456,15083033,54802099,,,,,,,,,,,
2018-11,BZX Equities (Z),5108808550,2607407849,3023705855,10739922254,2.17E+11,1.72E+11,1.75E+11,5.64E+11,47294328,13052009,28093381,88439718,,,,,,,,,,,
2018-11,CHX (M),237158410,409298539,197850631,844307580,12369234992,38408791434,21829800748,72607827173,100217,174776,157578,432571,,,,,,,,,,,
2018-11,EDGA Equities (J),1229325725,702749805,667513333,2599588863,49287004833,38017728596,38007317211,1.25E+11,11727725,3194086,6313591,21235402,,,,,,,,,,,
2018-11,EDGX Equities (K),3226603678,1823222741,2747145067,7796971486,1.29E+11,1.11E+11,1.39E+11,3.79E+11,25128218,7838204,18897672,51864094,,,,,,,,,,,
2018-11,FINRA / NYSE TRF (DN),4447157098,1998557246,4826085423,11271799767,1.38E+11,75212446798,2.26E+11,4.39E+11,9685381,3813813,11291151,24790345,,,,,,,,,,,
2018-11,FINRA / Nasdaq TRF Carteret (DQ),22923141215,9133706800,14322676615,46379524630,8.62E+11,5.30E+11,7.16E+11,2.11E+12,81299470,19369118,50436405,151104993,,,,,,,,,,,
2018-11,IEX (V),2744776673,526748744,1375503734,4647029151,1.16E+11,30503020774,77709099426,2.24E+11,19077803,2346322,10178342,31602467,,,,,,,,,,,
2018-11,NASDAQ (Q),9941296802,4515479820,13646407240,28103183862,4.45E+11,3.04E+11,8.02E+11,1.55E+12,88051507,18963472,88038628,195053607,,,,,,,,,,,
2018-11,NASDAQ BX (B),1887898440,647573976,1050690374,3586162790,82905135434,33916894076,55970693231,1.73E+11,18749886,3018277,10707580,32475743,,,,,,,,,,,
2018-11,NASDAQ PSX (X),378868656,446411372,341629697,1166909725,14711190153,33681683118,26973885790,75366759061,3144326,1676982,2741839,7563147,,,,,,,,,,,
